index;CD_MUNICIPIO_IBGE;Município;UF;Turno;Nome candidato;Partido;Cargo;Votos válidos;Votos nominais;ano;renda_pc;prop_ocupados_agropecuaria;prop_ocupados_comercio;prop_ocupados_construcao;prop_ocupados_servicos;prop_ocupados_transformacao;idhm;idhm_r
67082;5006002;NOVA ALVORADA DO SUL;MS;1;JOSE MARIA EYMAEL;DC;Presidente;10806;0;2010.0;830.08;27.6;10.62;7.16;31.26;18.06;0.694;0.746
67083;5006002;NOVA ALVORADA DO SUL;MS;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;10806;0;2010.0;830.08;27.6;10.62;7.16;31.26;18.06;0.694;0.746
67084;1302207;JURUÁ;AM;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;5145;0;2010.0;227.39;58.91;4.45;3.45;25.63;1.43;0.522;0.538
67085;3145406;OLARIA;MG;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;1704;0;2010.0;423.44;43.49;6.65;8.78;34.45;3.58;0.636;0.638
67086;3145455;OLHOS D'ÁGUA;MG;1;JOSE MARIA EYMAEL;DC;Presidente;3763;0;2010.0;348.9;51.3;4.82;5.16;27.98;1.87;0.626;0.607
67087;4207577;IOMERÊ;SC;1;JOSE MARIA EYMAEL;DC;Presidente;2293;0;2010.0;873.9;51.4;6.31;3.32;24.64;9.38;0.795;0.754
67088;2909703;CRISTÓPOLIS;BA;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;9146;0;2010.0;239.23;42.85;9.63;5.13;29.22;8.29;0.614;0.546
67089;3532157;NANTES;SP;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;1726;0;2010.0;472.28;20.95;8.49;3.68;46.09;17.53;0.714;0.655
67090;3532207;NARANDIBA;SP;1;JOSE MARIA EYMAEL;DC;Presidente;3443;0;2010.0;482.74;14.27;7.33;4.82;30.65;33.71;0.718;0.659
67091;3532207;NARANDIBA;SP;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;3443;0;2010.0;482.74;14.27;7.33;4.82;30.65;33.71;0.718;0.659
67092;3532207;NARANDIBA;SP;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;3443;0;2010.0;482.74;14.27;7.33;4.82;30.65;33.71;0.718;0.659
67093;3532306;NATIVIDADE DA SERRA;SP;1;JOSE MARIA EYMAEL;DC;Presidente;4101;0;2010.0;496.93;32.56;8.5;7.72;33.45;3.98;0.655;0.664
67094;4207403;IMBUIA;SC;1;JOSE MARIA EYMAEL;DC;Presidente;4178;0;2010.0;688.57;58.34;9.1;3.54;20.37;5.84;0.713;0.716
67095;4207403;IMBUIA;SC;1;SOFIA PADUA MANZANO;PCB;Presidente;4178;0;2010.0;688.57;58.34;9.1;3.54;20.37;5.84;0.713;0.716
